"","NAME","YEAR","TEAM","TIME"
"439","Seeb, Henry","SR-4","Wis.-Superior","28:37.9"
"440","Gallagher, Tyler","SO-2","Hamline","28:39.7"
"441","Booker, Coe","SO-2","Coe","28:39.8"
"442","Kosinsky, George","FR-1","Grinnell","28:43.2"
"443","Forrey, Noah","SR-4","Dubuque","28:44.7"
"444","Jarka-Sellers, Peter","SR-4","Macalester","28:46.8"
"445","Hussien, Sakariya","FR-1","Augsburg","28:49.8"
"446","Moody, Grant","FR-1","Crown","28:51.3"
"447","Barnack, Benjamin","SR-4","Minnesota-Morris","28:51.8"
"448","Abraham, Raymond","SR-4","Minnesota-Morris","28:57.0"
"449","Larson, Bjorn","SO-2","St. Scholastica","28:57.9"
"450","Donaldson, Wes","FR-1","Northwestern (Minn.)","28:58.6"
"451","Weber, Peter","SO-2","Cornell College","28:59.4"
"452","Johnson, Solomon","FR-1","Concordia-Moorhead","29:03.7"
"453","Maertz, Ryan","SO-2","Martin Luther","29:05.7"
"454","Prince, Stefan","SR-4","Bethany Lutheran","29:12.7"
"455","Gee, Travis","JR-3","Wis.-Superior","29:15.2"
"456","Zemba, Paul","SR-4","Cornell College","29:15.5"
"457","Abeyta, Michael","FR-1","Augsburg","29:22.1"
"458","Shackelford, Rory","FR-1","Minnesota-Morris","29:25.2"
"459","Kenny, Zach","SR-4","Buena Vista","29:25.9"
"460","Carillo, Sezar","SR-4","Coe","29:32.0"
"461","Grames, Tyler","SO-2","Buena Vista","29:34.4"
"462","O'Reilly, Declan","JR-3","Grinnell","29:37.0"
"463","Larson, Cameron","SO-2","Northwestern (Minn.)","29:42.1"
"464","Daood, Axel","FR-1","Saint Mary's (Minn.)","29:44.1"
"465","Smith, Ryan","FR-1","Coe","29:47.4"
"466","Flaws, Jon","FR-1","Buena Vista","29:50.4"
"467","Loersch, Josiah","FR-1","Martin Luther","29:51.0"
"468","Stoll, Matt","SR-4","Cornell College","29:52.5"
"469","Lash, Caleb","FR-1","Martin Luther","29:52.6"
"470","Runck, Nathan","SO-2","Northwestern (Minn.)","29:58.0"
"471","Harrison, Kody","SO-2","Grinnell","29:59.1"
"472","Thielke, Christian","JR-3","Minnesota-Morris","30:02.1"
"473","Knutson, Nic","FR-1","Crown","30:16.5"
"474","Thompson, Ethan","SO-2","Buena Vista","30:20.9"
"475","Patten, Evan","JR-3","Cornell College","30:32.7"
"476","Miller, Greg","JR-3","Augsburg","30:35.6"
"477","Fountaine, Gavin","SO-2","Northland","30:35.6"
"478","Hammer, Mitchell","FR-1","Wis.-Superior","30:41.8"
"479","Melso, Jacob","SR-4","Martin Luther","30:54.7"
"480","Stelljes, Levi","SO-2","Martin Luther","30:56.7"
"481","Lundsten, Ben","FR-1","Northwestern (Minn.)","30:58.3"
"482","Loerts, Alex","SR-4","Buena Vista","31:11.9"
"483","McCue, Ryan","SO-2","Bethany Lutheran","31:21.7"
"484","Sethre, Kevin","SO-2","Augsburg","31:46.6"
"485","Carlock, Andrew","JR-3","North Central (Minn.)","32:00.9"
"486","Nelson, Connor","SO-2","Wis.-Superior","32:30.5"
"487","Garcia Gonzaga, Erik","FR-1","Augsburg","32:32.6"
"488","Palmer, Hayden","FR-1","Northland","32:49.0"
"489","Davis, Tyler","FR-1","Crown","32:59.3"
"490","Arnold, Noah","SO-2","Martin Luther","33:47.1"
"491","Gregoria, Michael","FR-1","Crown","33:58.0"
"492","James , Tyrease","FR-1","Northland","34:19.6"
"493","DODGE, TYLER","JR-3","Northland","34:25.1"
"494","Voss, Casey","SO-2","Crown","34:43.7"
"495","DODGE, AUSTIN","JR-3","Northland","35:20.5"
"496","McLaughlin, Sean","FR-1","Northland","35:29.4"
"497","Swan, Nathan","FR-1","Northwestern (Minn.)","37:49.9"
"498","Durbin, Noah","FR-1","North Central (Minn.)","40:24.4"
"499","Tweit, Benjamin","JR-3","Bethany Lutheran","DNF"
"500","Campbell, Jack","SO-2","North Central (Minn.)","DNF"
"501","Widlansky , Ethan","SO-2","Pomona-Pitzer","25:00.7"
"502","Cargile, Tucker","JR-3","Redlands","25:14.5"
"503","Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:16.8"
"504","van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","25:17.8"
"505","Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:23.4"
"506","Keiser, Owen","SO-2","Pomona-Pitzer","25:25.5"
"507","Monaghan, Colin","SO-2","Puget Sound","25:30.6"
"508","Ward, Hugo","JR-3","Pomona-Pitzer","25:31.2"
"509","Richardson, Sean","SR-4","Lewis & Clark","25:36.1"
"510","Ashby, Ethan","JR-3","Pomona-Pitzer","25:41.4"
"511","Paszkeicz, Dante","SO-2","Pomona-Pitzer","25:41.4"
"512","Kimball, Will","JR-3","Claremont-Mudd-Scripps","25:47.5"
"513","Colosi, Paul","SR-4","UC Santa Cruz","25:47.6"
"514","Calderon, Tony","SR-4","Colorado College","25:48.2"
"515","Johnson, Hayden","FR-1","UC Santa Cruz","25:48.5"
"516","Rosen, Daniel","SR-4","Pomona-Pitzer","25:53.1"
"517","Ricci, Simon","SR-4","Caltech","25:54.4"
"518","O'Neill, Kellen","JR-3","UC Santa Cruz","25:56.4"
"519","Hesse-Withbroe, Joseph","SO-2","Pomona-Pitzer","26:08.9"
"520","Scarlett, Matt","SO-2","Occidental","26:13.8"
"521","Salas, Matthew","JR-3","La Verne","26:15.6"
"522","Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","26:16.6"
"523","Ives, Wilson","SR-4","Claremont-Mudd-Scripps","26:18.0"
"524","Williams, Jack","SR-4","Colorado College","26:18.3"
"525","Verschoor, Enrique","FR-1","Redlands","26:20.7"
"526","Mott, Joel","JR-3","Whitworth","26:22.7"
"527","McClure, Tim","SO-2","Occidental","26:26.5"
"528","Pick, Henry","FR-1","Claremont-Mudd-Scripps","26:28.4"
"529","Robertson, Thomas","SR-4","Occidental","26:30.7"
"530","Kleiber, Nick","JR-3","UC Santa Cruz","26:32.1"
"531","Brennan, Conor","SO-2","Occidental","26:34.2"
"532","Weiss, Peter","SO-2","George Fox","26:37.3"
"533","Teitelbaum, Walter","SO-2","UC Santa Cruz","26:38.2"
"534","Sheh, Charles","SO-2","Occidental","26:41.7"
"535","Wilber, Trevor","FR-1","George Fox","26:43.4"
"536","Phanse, Gaurav","SO-2","Caltech","26:50.1"
"537","Cortes, Pablo","FR-1","UC Santa Cruz","26:56.6"
"538","Kaelin, Timothy","JR-3","George Fox","26:58.3"
"539","Blackburn, Max","SR-4","Colorado College","27:00.9"
"540","Moore, Tanner","SR-4","Caltech","27:03.3"
"541","Fournier, Eli","SR-4","Whitman","27:06.9"
"542","Butler, Drake","SR-4","Chapman","27:08.7"
"543","Goodwin, Hezekiah","SO-2","Pacific Lutheran","27:10.1"
"544","Saleh, Maamoon","JR-3","Whitman","27:10.5"
"545","Brennan, James","SO-2","Occidental","27:14.9"
"546","Casey, Matt","JR-3","Redlands","27:18.9"
"547","Haro-Ruiz, Miguel","SR-4","Lewis & Clark","27:24.8"
"548","Del Carmen, David","JR-3","Whittier","27:25.7"
"549","DeWitt, Cody","SO-2","Puget Sound","27:26.0"
"550","Medina, Alex","FR-1","La Verne","27:28.6"
"551","Rodriguez, Sam","SO-2","Colorado College","27:34.0"
"552","Guisinger, Johnathan","JR-3","George Fox","27:34.9"
"553","Morgenfeld, Spencer","JR-3","Caltech","27:35.4"
"554","Khromets, Nikita","JR-3","Cal Lutheran","27:36.0"
"555","Winsor, Perry","SO-2","UC Santa Cruz","27:36.8"
"556","Fausto, Miguel","SO-2","Redlands","27:37.2"
"557","Millen, Jacob","FR-1","Chapman","27:39.0"
"558","Ford, Kent","FR-1","Occidental","27:39.3"
"559","Fry, Josh","SO-2","Colorado College","27:41.0"
"560","Salcido, Rogelio","FR-1","Redlands","27:41.3"
"561","Stewart, Riley","JR-3","Pacific (Ore.)","27:42.8"
"562","Stracke, Ryan","FR-1","Pacific Lutheran","27:44.0"
"563","White, Matthew","JR-3","Lewis & Clark","27:48.6"
"564","Albers, August","FR-1","Whitworth","27:50.2"
"565","White, Aiden","FR-1","Chapman","27:51.3"
"566","Smith, Aidan","SO-2","Whitworth","27:54.7"
"567","Larsen, Rylan","SR-4","George Fox","27:55.8"
"568","Olive-Larson, Quentin","JR-3","Redlands","28:00.6"
"569","Hart, Anthony","FR-1","Chapman","28:02.3"
"570","Grinnan, Tucker","SO-2","Whitman","28:04.2"
"571","Maier, Jonny","JR-3","Pacific Lutheran","28:05.7"
"572","Lira-Martinez, Ricardo","SO-2","Whittier","28:06.0"
"573","Gibbs, Josh","SR-4","George Fox","28:08.2"
"574","Mahler, Adam","SR-4","Colorado College","28:10.7"
"575","Wasserman, Gabe","FR-1","Whitman","28:13.3"
"576","Baza, Rigoberto","SR-4","Cal Lutheran","28:18.9"
"577","Meek, Gabriel","SR-4","Whitworth","28:19.3"
"578","Farnsworth, Brandon","FR-1","Redlands","28:21.9"
"579","Earney, Matthew","JR-3","Caltech","28:26.3"
"580","Willey, Garret","SO-2","Whitworth","28:28.8"
"581","Sprague, Spencer","FR-1","George Fox","28:37.7"
"582","Sakamaki, Wolfgang","FR-1","Chapman","28:39.5"
"583","Wynn, Riley","JR-3","Pacific Lutheran","28:40.8"
"584","Griffin, Conor","JR-3","Cal Lutheran","28:44.7"
"585","Neal, Garet","FR-1","Pacific (Ore.)","28:45.5"
"586","Anderson, David","FR-1","Chapman","28:46.6"
"587","Johnson, Bryce","JR-3","Pacific Lutheran","28:47.6"
"588","Miller, Silas","JR-3","Whitman","28:48.2"
"589","Fager, David","SR-4","Caltech","28:52.2"
"590","Friederichs, Henry","SR-4","Cal Lutheran","28:53.1"
"591","Morales, Gabriel","SO-2","Whitworth","28:53.8"
"592","West, Andrew","JR-3","Colorado College","28:54.6"
"593","Zamudio, Christian","FR-1","Cal Lutheran","28:54.9"
"594","Regimbal, Gabriel","FR-1","Willamette","28:56.7"
"595","Grode, Caleb","SO-2","Whitworth","29:00.0"
"596","Robertson, Connor","SO-2","Lewis & Clark","29:05.9"
"597","Klinman, James","SO-2","Whitman","29:09.3"
"598","Matteson, Alex","SO-2","Willamette","29:20.2"
"599","Davies, Ronan","FR-1","Willamette","29:33.0"
"600","Guerrero, Jose","SO-2","Chapman","29:34.3"
"601","Paavola, Kalevi","FR-1","Lewis & Clark","29:37.9"
"602","Martin, Grant","SO-2","Whitman","29:48.7"
"603","Robak, Trey","SO-2","Pacific Lutheran","30:00.1"
"604","Piper, Kyle","FR-1","Caltech","30:11.8"
"605","Aguilar, Jonathan","FR-1","Cal Lutheran","30:23.3"
"606","Stewart, Garrett","JR-3","Pacific (Ore.)","30:44.1"
"607","VanKeersbilck, Luke","SO-2","Cal Lutheran","30:46.5"
"608","Hernandez, Andres","FR-1","Whittier","31:11.3"
"609","Tinoco, Brian","FR-1","Pacific (Ore.)","32:41.6"
"610","Maze, Jake","FR-1","Pacific (Ore.)","33:24.4"
"611","Arrendondo, Benjamin","JR-3","Whittier","33:48.9"
"612","Brobeck, Grant","FR-1","Pacific (Ore.)","34:09.6"
"613","Nussbaum, Chris","SR-4","Pacific Lutheran","DNF"
"614","Joss, Oliver","SO-2","Pacific (Ore.)","DNF"
"615","Enriquez, Matthew","FR-1","Whittier","DNF"
"616","Deffner, Owen","FR-1","Lewis & Clark","DNF"
"617","Watson, Patrick","SR-4","Stevenson","24:24.4"
"618","Pangallozzi, Jared","JR-3","Johns Hopkins","24:40.7"
"619","Gerstenbacher, Samuel","SR-4","Elizabethtown","24:44.3"
"620","Jaindl, Greg","SR-4","Moravian","24:48.8"
"621","Karee, Matthew","JR-3","Carnegie Mellon","24:50.0"
"622","Livolsi, Franklin","SR-4","Widener","24:53.8"
"623","Haines, David","JR-3","Marywood","24:56.9"
"624","Richwall, Jason","SR-4","Muhlenberg","24:57.6"
"625","Galligan, Liam","JR-3","Franciscan (Ohio)","25:00.5"
"626","Hines, Declan","JR-3","Johns Hopkins","25:05.9"
"627","Yukevich, Evan","SR-4","Carnegie Mellon","25:12.9"
"628","Goebel, Edward","JR-3","Carnegie Mellon","25:14.7"
"629","Walsh, Liam","SR-4","Carnegie Mellon","25:15.4"
"630","Obroin, Michael","SO-2","Carnegie Mellon","25:17.4"
"631","Delahanty, Conner","JR-3","Johns Hopkins","25:19.5"
"632","Myers, Christopher","SR-4","Elizabethtown","25:25.3"
"633","Madden, Conor","SR-4","Haverford","25:25.4"
"634","Hartshorne, Hunter","SR-4","Carnegie Mellon","25:26.8"
"635","Kalapos, Josh","SR-4","Carnegie Mellon","25:27.5"
"636","McCalpin, Sam","SR-4","Haverford","25:28.3"
"637","Dye, Patrick","JR-3","Johns Hopkins","25:28.7"
"638","Buckley, Peter","SO-2","Haverford","25:30.8"
"639","Kredell, Ryan","FR-1","Haverford","25:31.7"
"640","Schoener, Will","JR-3","Elizabethtown","25:32.2"
"641","Scharf, Charles","SO-2","Dickinson","25:35.0"
"642","Valderrabano, Isaac","FR-1","York (Pa.)","25:35.2"
"643","Scharf, Christopher","SO-2","Dickinson","25:36.5"
"644","Bhat, Vipul","SR-4","Johns Hopkins","25:36.8"
"645","Kulick, Nikita","SR-4","Stevenson","25:38.1"
"646","Coverdale, Liam","SR-4","Elizabethtown","25:38.9"
"647","Amos, Tyler","SO-2","Johns Hopkins","25:40.3"
"648","Myers, Phoenix","JR-3","PSU-Behrend","25:41.3"
"649","Borek, Mark","JR-3","Franciscan (Ohio)","25:42.9"
"650","Cantine, Aidan","FR-1","Swarthmore","25:49.6"
"651","Sheldon, Samuel","SR-4","Gettysburg","25:50.3"
"652","Joshi, Aditya","SR-4","Johns Hopkins","25:50.7"
"653","Descavish, Bryce","SR-4","Dickinson","25:50.7"
"654","Brelig, Max","SO-2","Haverford","25:52.2"
"655","Ulrich, Evan","SR-4","Juniata","25:54.1"
"656","Daez, Miguel","FR-1","Franciscan (Ohio)","25:54.7"
"657","Gutenkunst, Zachary","SR-4","Scranton","25:57.2"
"658","Caroselli, Vinnie","SR-4","Juniata","25:58.5"
"659","Wortman, Zachary","JR-3","PSU-Behrend","26:00.5"
"660","King, Frankie","JR-3","St. Vincent (Pa.)","26:02.8"
"661","McKeever, Dylan","JR-3","Gettysburg","26:03.3"
"662","Russell, Benjamin","SO-2","York (Pa.)","26:03.6"
"663","Parts, Vaughn","SR-4","Swarthmore","26:03.9"
"664","O'Neill, Jake","JR-3","York (Pa.)","26:07.5"
"665","Bratt, Aaron","FR-1","Haverford","26:07.7"
"666","Iddriss, Iddriss","SR-4","Stevenson","26:09.8"
"667","McKeon, Shane","SO-2","Scranton","26:10.1"
"668","Abebe, Abenezer","SO-2","Lancaster Bible","26:12.1"
"669","Kawakatsu, Hiro","SR-4","Haverford","26:12.8"
"670","Davis, Zachary","SR-4","Misericordia","26:13.3"
"671","Smyth, Justin","SO-2","York (Pa.)","26:13.7"
"672","Smith, Colm","SO-2","Elizabethtown","26:14.5"
"673","Zardecki, Jack","FR-1","Misericordia","26:15.4"
"674","Heskin, Ryan","FR-1","Dickinson","26:15.4"
"675","Laughery, Tyler","SR-4","St. Vincent (Pa.)","26:15.6"
"676","Fermin, Darlyn","FR-1","Moravian","26:17.7"
"677","Henry, Bryton","SR-4","Eastern","26:18.0"
"678","Piekos, Nathaniel","SR-4","Widener","26:18.4"
"679","Cardie, Joseph","JR-3","Widener","26:19.3"
"680","Harper, Anthony","SO-2","Widener","26:20.5"
"681","Wells, Joey","SO-2","DeSales","26:20.6"
"682","Loalbo, Matt","SR-4","Dickinson","26:20.9"
"683","Kemery, Gavin","SR-4","Moravian","26:22.2"
"684","D'Amico, Peter","SR-4","Juniata","26:22.6"
"685","Sharma, Milan","SO-2","Eastern","26:24.5"
"686","DeRafelo, Dominic","SO-2","Moravian","26:25.8"
"687","Penfold, Brendan","SO-2","Swarthmore","26:25.9"
"688","Wolfe, Adam","SO-2","Elizabethtown","26:26.9"
"689","Rothenberg, Ethan","SO-2","Swarthmore","26:29.1"
"690","Fitzkee, Galen","JR-3","Messiah","26:30.7"
"691","Kimbell, Mason","JR-3","Salisbury","26:30.9"
"692","Dohery Munro, Jacob","SO-2","Dickinson","26:31.4"
"693","Kenny, Frank","SR-4","Swarthmore","26:31.5"
"694","Maciel, Marcos","SO-2","Ursinus","26:31.6"
"695","Romberger, Nate","JR-3","Messiah","26:34.1"
"696","Patterson, Steve","JR-3","St. Vincent (Pa.)","26:35.4"
"697","Tingley, Zac","SO-2","PSU-Behrend","26:36.2"
"698","Griffin, Noah","SO-2","Lebanon Valley","26:36.2"
"699","Berger, Jordan","FR-1","Lebanon Valley","26:39.3"
"700","Lehotsky, Jake","JR-3","PSU-Behrend","26:40.2"
"701","Conjelko, Jack","FR-1","McDaniel","26:40.7"
"702","Smurla, Patrick","SO-2","Muhlenberg","26:41.1"
"703","Warehime, Jack","SO-2","Susquehanna","26:42.1"
"704","Kober , Stephen","FR-1","Misericordia","26:42.6"
"705","McDaid, James","SR-4","Ursinus","26:42.7"
"706","Dressler, Aden","FR-1","Washington & Jefferson","26:42.9"
"707","Sneller, Caleb","JR-3","Eastern","26:43.6"
"708","Witmer, Timothy","JR-3","Elizabethtown","26:44.5"
"709","Scheib, Alex","SR-4","Messiah","26:46.4"
"710","Horst, Logan","FR-1","Messiah","26:46.7"
"711","Fox, Gavyn","FR-1","Widener","26:46.8"
"712","Sharo, Dan","SO-2","DeSales","26:51.2"
"713","Jones, Alexander","SR-4","Juniata","26:52.2"
"714","Juengling, Erik","FR-1","Juniata","26:54.0"
"715","Greene, Will","SR-4","St. Vincent (Pa.)","26:54.1"
"716","Drozynski, Christopher","SR-4","PSU-Behrend","26:54.5"
"717","Rivera, Armani","SR-4","Gwynedd-Mercy","26:56.9"
"718","Buzynski, Timmy","SO-2","York (Pa.)","26:57.5"
"719","White, Casey","FR-1","Swarthmore","26:58.1"
"720","Elliott, Connor","FR-1","Gettysburg","26:58.4"
"721","Laughlin, Parker","SO-2","Washington & Jefferson","26:59.1"
"722","Campagna, Jeffrey","JR-3","Lebanon Valley","26:59.2"
"723","Santis, Garrett","SR-4","Lebanon Valley","27:00.3"
"724","Finning, Daniel","FR-1","Scranton","27:00.5"
"725","Mead, Liam","FR-1","Scranton","27:01.5"
"726","Kinback, Matt","JR-3","Scranton","27:02.5"
"727","Boyle, Nick","JR-3","DeSales","27:02.7"
"728","Reistle, Christopher","JR-3","Arcadia","27:03.5"
"729","Gall, Damon","SO-2","Washington & Jefferson","27:03.6"
"730","Densmore, Justin","JR-3","St. Vincent (Pa.)","27:03.6"
"731","Farace, Wyatt","FR-1","McDaniel","27:04.9"
"732","Dziewulski, Calvin","FR-1","St. Vincent (Pa.)","27:04.9"
"733","Houghton, Shane","SO-2","Moravian","27:05.0"
"734","MacMullin, Evan","SR-4","Juniata","27:06.1"
"735","Eide, Jeffery","SO-2","Grove City","27:06.9"
"736","Bakalyar, Caleb","FR-1","Marywood","27:06.9"
"737","Temel, Nick","FR-1","PSU-Behrend","27:06.9"
"738","Deming, Zachary","FR-1","Salisbury","27:07.8"
"739","Brewer, Maxwell","FR-1","Marywood","27:08.8"
"740","Crotteau, Matthew","SR-4","Franciscan (Ohio)","27:08.8"
"741","Deloff, Kenny","JR-3","Eastern","27:09.2"
"742","Alansky, Drew","JR-3","York (Pa.)","27:10.5"
"743","Cauley, Nick","SR-4","DeSales","27:11.9"
"744","Gray, Ethan","SO-2","Salisbury","27:11.9"
"745","Lancaster, Nick","FR-1","Misericordia","27:12.3"
"746","Buckwalter, Silas","SO-2","Messiah","27:12.9"
"747","Schwartz, David","FR-1","Franklin & Marshall","27:13.2"
"748","Potz, Joseph","FR-1","Gettysburg","27:13.3"
"749","Santacoloma, Matthew","FR-1","DeSales","27:14.9"
"750","Lerch, Michael","SO-2","Moravian","27:15.7"
"751","Heinzerling, Lucas","SR-4","Swarthmore","27:16.5"
"752","Skrutski, Nathan","JR-3","Marywood","27:17.6"
"753","Magee, Bryce","SO-2","Widener","27:19.7"
"754","Shriner, Collin","FR-1","McDaniel","27:21.4"
"755","Berardi, Kyle","JR-3","Ursinus","27:21.8"
"756","Eville, Ryan","JR-3","Salisbury","27:23.8"
"757","Oates, Tyler","SR-4","Widener","27:24.9"
"758","Payne, Jordan","JR-3","Waynesburg","27:25.1"
"759","Silverman, Jonah","SO-2","Muhlenberg","27:25.1"
"760","Haynes, Tanner","SO-2","Lebanon Valley","27:25.7"
"761","Burgenson, Christopher","SR-4","Hood","27:26.5"
"762","Sabol, Christopher","SR-4","Misericordia","27:26.8"
"763","Womack, Johnathan","FR-1","Stevenson","27:27.5"
"764","Wilson, Tyler","SO-2","St. Mary's (Md.)","27:29.1"
"765","Jecelin, Nathan","JR-3","Waynesburg","27:30.0"
"766","Urban, Shane","FR-1","Susquehanna","27:30.9"
"767","Iseman, Samuel","FR-1","Stevenson","27:31.4"
"768","Hoffman, Cassidy","SO-2","Messiah","27:32.6"
"769","Powell, Daniel","JR-3","Ursinus","27:33.3"
"770","Heitmann, Aren","SR-4","Gettysburg","27:33.3"
"771","Kraus, Matt","JR-3","DeSales","27:34.7"
"772","Mansell, Josiah","JR-3","Geneva","27:35.0"
"773","Cokley , Jac","FR-1","Waynesburg","27:35.9"
"774","DeLia, John","JR-3","Ursinus","27:39.8"
"775","Durgin, Matt","JR-3","Waynesburg","27:40.5"
"776","Seich, Brett","SO-2","Chatham","27:43.6"
"777","Heerema, Carter","SR-4","Eastern","27:44.1"
"778","Colomb, Morrison","JR-3","Waynesburg","27:44.7"
"779","Brice, Cameren","SO-2","Keystone","27:45.1"
"780","Trosdal, Einar","SO-2","Grove City","27:45.2"
"781","Sabella, John","SO-2","Susquehanna","27:46.2"
"782","Krob, Thatcher","SO-2","Lancaster Bible","27:48.4"
"783","Domencic, Aidan","FR-1","PSU-Behrend","27:49.6"
"784","Helmer, Josiah","FR-1","Geneva","27:50.1"
"785","Warrick, Nathan","SO-2","Grove City","27:52.0"
"786","Hopkins, William","SO-2","Gettysburg","27:52.1"
"787","Forry, Daniel","JR-3","York (Pa.)","27:53.5"
"788","Bathgate, Gavin","FR-1","Alfred State","27:53.5"
"789","Ciattei, Christian","SO-2","Salisbury","27:53.9"
"790","Shane , Ethan","JR-3","Misericordia","27:54.1"
"791","Maglione, Mike","FR-1","Franklin & Marshall","27:54.6"
"792","Forgash, Mitchell","FR-1","King's (Pa.)","27:55.2"
"793","Martin, Michael","SR-4","Grove City","27:56.8"
"794","Green, Jeromy","JR-3","Salisbury","27:57.9"
"795","Mead, Zachary","JR-3","Scranton","27:58.9"
"796","Menchey, Jake","JR-3","Susquehanna","28:01.3"
"797","Fillman, Alex","FR-1","Franklin & Marshall","28:02.2"
"798","Koshy, Rahul","SO-2","Chatham","28:02.3"
"799","Capella, Jeremy","FR-1","St. Vincent (Pa.)","28:03.4"
"800","Clugston, Nathaniel","SR-4","Lebanon Valley","28:04.8"
"801","Royer, Matthew","SR-4","Messiah","28:05.5"
"802","Martinez, Edward","SO-2","Ursinus","28:07.0"
"803","Collier, Paul","FR-1","Washington & Jefferson","28:09.0"
"804","Paustian, Mike","SO-2","DeSales","28:10.8"
"805","Donovan, Daniel","FR-1","Franciscan (Ohio)","28:15.8"
"806","Nguyen, Tim","SR-4","Eastern","28:16.6"
"807","Beasley-Turner, Justin","SR-4","Moravian","28:17.1"
"808","Racine, Brandon","SR-4","Geneva","28:17.1"
"809","Kay, Aidan","FR-1","Franciscan (Ohio)","28:19.1"
"810","Foote, Austin","FR-1","Salisbury","28:19.6"
"811","Snow , Greg","JR-3","Cairn","28:20.6"
"812","Landrieu, Patrick","SR-4","Arcadia","28:21.7"
"813","Vaccaro, David","JR-3","Grove City","28:23.7"
"814","Kelly, Michael","SO-2","Marywood","28:24.4"
"815","Davis, Levi","FR-1","Hood","28:25.0"
"816","Whitesell, Grayson","FR-1","Hood","28:26.0"
"817","Razze , Anthony","FR-1","McDaniel","28:26.1"
"818","Hammer Huber, Aaron","SO-2","Grove City","28:27.1"
"819","Bules, Odin","JR-3","Dickinson","28:28.8"
"820","Michels, Daniel","JR-3","King's (Pa.)","28:29.2"
"821","Ashnault, Connor","FR-1","Franklin & Marshall","28:29.2"
"822","Nicewicz, Tom","FR-1","Washington & Jefferson","28:29.4"
"823","Sorge, Brandon","SR-4","Susquehanna","28:30.8"
"824","Leiby, Matthew","JR-3","Penn College","28:31.0"
"825","Keenan, Harrison","JR-3","Westminster (Pa.)","28:31.3"
"826","Morgan, Sam","SO-2","Muhlenberg","28:33.2"
"827","Malone, Jack","JR-3","Misericordia","28:34.1"
"828","Balla, Thomas","FR-1","Gwynedd-Mercy","28:36.9"
"829","Sobus, Michael","SO-2","Franciscan (Ohio)","28:38.0"
"830","Farnsworth, Taylor","SO-2","Stevenson","28:39.3"
"831","Matzke, Luke","JR-3","Gettysburg","28:39.7"
"832","Molina, Noah","JR-3","Wilkes","28:42.2"
"833","Wasch, Bennett","FR-1","Franklin & Marshall","28:43.9"
"834","Finck, Stephen","SO-2","Franklin & Marshall","28:45.0"
"835","connolly , matt","SO-2","Alfred State","28:45.4"
"836","Soderstedt, Conner","FR-1","Muhlenberg","28:47.3"
"837","Baxter, Noah","SR-4","Lebanon Valley","28:47.5"
"838","Wilkins, Steve","FR-1","Ursinus","28:47.9"
"839","Casciotti, Mariano","FR-1","Marywood","28:49.1"
"840","Weldeberuk, Yonatan","FR-1","Hood","28:51.3"
"841","Mihoci, Jarron","JR-3","Geneva","28:57.3"
"842","Warmbein, Kyle","JR-3","Waynesburg","29:04.1"
"843","Chattin, Anders","SO-2","Stevenson","29:04.7"
"844","Scotti, Christian","JR-3","Marywood","29:05.8"
"845","Pakozdi, Chad","JR-3","Thiel","29:06.7"
"846","Kotran, Ben","JR-3","Franklin & Marshall","29:10.3"
"847","Hoyer, Benjamin","SO-2","PSU-Abington","29:11.5"
"848","Thompson, Shaun","SR-4","McDaniel","29:13.5"
"849","Isaacson, Jonah","SO-2","Penn College","29:14.6"
"850","Schucker, Zachary","SO-2","PSU-Berks","29:14.8"
"851","Hogan, Christopher","SR-4","Penn College","29:15.7"
"852","Gale, Isaac","FR-1","Valley Forge","29:20.2"
"853","Carey, Evan","SR-4","Cairn","29:20.4"
"854","Lewis, Christopher","JR-3","Chatham","29:20.8"
"855","Porembski, Stephen","JR-3","McDaniel","29:22.0"
"856","Roselli, Anthony","FR-1","Alvernia","29:23.3"
"857","Sebastianelli, Alan","SR-4","Wilkes","29:24.6"
"858","Dawson, William Brighton","JR-3","Wesley","29:24.8"
"859","Klopp, Mason","SR-4","Waynesburg","29:25.2"
"860","Sayers, Nathan","FR-1","St. Mary's (Md.)","29:28.5"
"861","Sibson, Zach","SR-4","Eastern","29:32.4"
"862","Thies, Matthew","SO-2","Marymount (Va.)","29:32.4"
"863","O'Brien, Brendan","SO-2","Marymount (Va.)","29:32.4"
"864","Wacker, Matthew","JR-3","Alvernia","29:33.8"
"865","Mashack, Jake","JR-3","Penn College","29:35.9"
"866","Barrett, Tyler","SR-4","Alvernia","29:38.7"
"867","Rissler, Jeremy","FR-1","Juniata","29:40.7"
"868","Reed, Chase","FR-1","Lancaster Bible","29:41.7"
"869","Walter, Kevin","FR-1","Arcadia","29:42.7"
"870","McCoy, Reagan","JR-3","Penn College","29:43.7"
"871","Singhel, Kevin","SR-4","Wilkes","29:44.3"
"872","Fulton, Dean","FR-1","Penn College","29:45.9"
"873","Sivertsen, Travis","FR-1","Washington & Jefferson","29:46.9"
"874","Hickey , Trevor","JR-3","Cairn","29:47.0"
"875","Benson, Kerry","FR-1","PSU-Berks","29:48.6"
"876","Hay, Matthew","SO-2","Grove City","29:49.5"
"877","Courtney, Samuel","FR-1","Wesley","29:50.3"
