"","NAME","YEAR","TEAM","TIME"
"103","Heintz, Benjamin","SR-4","NYU","27:08.6"
"104","Boyzok, John","SR-4","Brockport St.","27:08.9"
"105","Cohen, Matthew","SR-4","Stockton","27:10.0"
"106","Campbell, Kyle","SO-2","Fredonia","27:11.1"
"107","Abell, Matthew","FR-1","St. Lawrence","27:11.6"
"108","LaDue, Trevor","SO-2","Stevens Institute","27:11.8"
"109","Horan, Arthur","JR-3","Plattsburgh St.","27:12.0"
"110","Deuschle, Tyler","SR-4","Houghton","27:12.9"
"111","Dellaporta, Lucas","SR-4","Manhattanville","27:13.7"
"112","George, Brandon","JR-3","Clarkson","27:14.4"
"113","Wilson, Ryan","FR-1","St. Joseph's (L.I.)","27:14.8"
"114","Koshi, Sembel","FR-1","Buffalo State","27:15.1"
"115","Barmore, Collin","FR-1","Fredonia","27:15.6"
"116","Blake, John","SR-4","Ithaca","27:17.1"
"117","Celecki, Chris","JR-3","Nazareth","27:17.7"
"118","Engelhart, Kyle","JR-3","Utica","27:19.0"
"119","Marlow, Mitch","SR-4","Utica","27:19.4"
"120","Stevens, Tyler","FR-1","Utica","27:22.9"
"121","Padilla Jr., Merlin","SR-4","CCNY","27:24.1"
"122","Pollard, Aidan","SR-4","Fredonia","27:25.0"
"123","Skeldon, Christopher","SR-4","Hamilton","27:26.0"
"124","Schulz, William","FR-1","Stevens Institute","27:26.6"
"125","Lillian, Jack","SR-4","NYU","27:26.7"
"126","Ross, Peter","SR-4","Hamilton","27:28.0"
"127","Dunning, Ryan","JR-3","Fredonia","27:29.8"
"128","Casalino, Jack","SO-2","Vassar","27:30.0"
"129","Burg, Alex","SR-4","Brockport St.","27:30.8"
"130","Mooney, Cody","JR-3","Brockport St.","27:31.3"
"131","Gross, Dan","SO-2","Cortland St.","27:31.4"
"132","Cermeno, Eduardo","SO-2","Ramapo","27:32.3"
"133","Ennis, Jack","SO-2","TCNJ","27:33.3"
"134","Watkins, Noah","JR-3","Fredonia","27:33.8"
"135","Kazandjian, Zaven","FR-1","RIT","27:35.0"
"136","O'Rourke, Dennis","SO-2","St. Joseph's (L.I.)","27:35.3"
"137","Wasserman, Josh","SR-4","Hobart","27:35.6"
"138","Jones, Garrett","SO-2","SUNY Poly","27:36.3"
"139","Erman, Matthew","JR-3","Fredonia","27:36.9"
"140","Gunther, PJ","SO-2","Stevens Institute","27:39.1"
"141","Byrnes, Sean","SO-2","Clarkson","27:40.2"
"142","Brown, Mike","JR-3","Nazareth","27:45.2"
"143","Pittman, Tyler","SO-2","USMMA","27:45.5"
"144","Diop, Papa","JR-3","Manhattanville","27:45.7"
"145","Fletcher, Will","SR-4","Hobart","27:47.3"
"146","Gann, Ayden","JR-3","Vassar","27:47.9"
"147","Lopez, Matt","FR-1","St. Joseph's (L.I.)","27:49.0"
"148","MaGill, Brendan","FR-1","Hamilton","27:52.4"
"149","Tomaka, Josh","SO-2","Nazareth","27:52.8"
"150","Shute, Brennan","SO-2","USMMA","27:53.8"
"151","Bashant, Eli","SR-4","Vassar","27:54.2"
"152","Kimball, Shane","JR-3","Manhattanville","27:54.4"
"153","Keidat, Matt","FR-1","Stockton","27:56.2"
"154","Nowak, Eric","FR-1","Clarkson","27:56.3"
"155","Smith, Brent","FR-1","Bard","27:56.8"
"156","Fonda, Seth","SO-2","Buffalo State","27:57.4"
"157","Suddaby, Jake","SO-2","Nazareth","27:57.6"
"158","Dobkowski, Michael","SR-4","USMMA","27:59.1"
"159","Wheeler, Joel","JR-3","Houghton","27:59.6"
"160","Baisley, Jake","JR-3","SUNY Poly","27:59.6"
"161","Barbookles, Matthew","JR-3","Oswego State","28:01.8"
"162","Bishop, Tyler","FR-1","Clarkson","28:01.9"
"163","Gwilt, Collin","SR-4","Rochester","28:02.4"
"164","Catalano, Jake","SR-4","Stevens Institute","28:03.4"
"165","Behuniak, Joshua","SR-4","Buffalo State","28:05.0"
"166","Vernick, John","SR-4","Houghton","28:06.3"
"167","Daly, Hayden","SO-2","Stevens Institute","28:08.3"
"168","Russo, Dave","SO-2","Houghton","28:09.3"
"169","Murnock, Kevin","SR-4","Buffalo State","28:11.4"
"170","Beckhorn, Dylan","SO-2","Houghton","28:13.4"
"171","Ruiz, Anthony","FR-1","Fredonia","28:16.7"
"172","Bucher, William","FR-1","USMMA","28:16.9"
"173","Watkins, Gavin","FR-1","Cortland St.","28:17.4"
"174","Yusaitis, Joseph","FR-1","Plattsburgh St.","28:17.4"
"175","Chianese, Joseph","JR-3","Plattsburgh St.","28:17.4"
"176","Bernstein, Richard","JR-3","Buffalo State","28:18.4"
"177","Tso, Ryan","JR-3","New Paltz St.","28:19.5"
"178","Rozvora, Bogdan","FR-1","St. John Fisher","28:19.5"
"179","Richard, Dylan","FR-1","Clarkson","28:23.3"
"180","Bell, Dillon","JR-3","Houghton","28:27.1"
"181","Appleton, Jacob","FR-1","Hobart","28:30.1"
"182","Couse, Nathan","SO-2","Oswego State","28:30.7"
"183","Mayo, Tim","SO-2","Alfred","28:31.9"
"184","Merando, Nick","SO-2","SUNY Cobleskill","28:32.5"
"185","Facey, Philip","SO-2","Union (N.Y.)","28:33.2"
"186","Reed, Hunter","SO-2","Utica","28:34.8"
"187","Lisiecki, Joshua","FR-1","Buffalo State","28:35.0"
"188","Russo, Robby","SO-2","Stevens Institute","28:39.2"
"189","Wuss, Patrick","FR-1","St. Joseph's (L.I.)","28:39.7"
"190","Lyon , Nicholas","SO-2","Hamilton","28:40.1"
"191","Gildea, Liam","FR-1","Plattsburgh St.","28:41.2"
"192","D'Antonio, Chris","SO-2","New Paltz St.","28:42.7"
"193","Garceau, Mark","SO-2","Hartwick","28:44.0"
"194","Killian, Joseph","SO-2","SUNY Poly","28:44.3"
"195","Nicosia, Brandon","FR-1","St. John Fisher","28:45.6"
"196","Dell-Thibodeau, Max","SR-4","Lehman","28:46.4"
"197","Siranaula, Dayshawn","JR-3","Manhattanville","28:49.3"
"198","Raymond, Sean","JR-3","Alfred","28:49.9"
"199","Carrick, Ryan","FR-1","New Paltz St.","28:53.5"
"200","Perez, Eric","SR-4","Oswego State","28:55.7"
"201","Jean-Baptiste, Ed-Son","FR-1","Morrisville State","28:56.7"
"202","Czerpak, Colin","JR-3","Union (N.Y.)","28:57.2"
"203","Pfeifer, Andrew","SO-2","SUNY Poly","28:58.3"
"204","Tlatelpa, Jaime","FR-1","New Jersey City","28:58.9"
"205","Carrano, Victor","JR-3","Baruch","28:59.2"
"206","Wilbert, Gavin","SO-2","Alfred","29:00.6"
"207","Lorenzen, Timothy","JR-3","Plattsburgh St.","29:02.0"
"208","Bakely, Chris","SO-2","Stockton","29:04.1"
"209","Worobey, Ryan","FR-1","Plattsburgh St.","29:07.5"
"210","Maynard, Holden","JR-3","Sage","29:10.5"
"211","Murray, Patrick","FR-1","Utica","29:12.3"
"212","Knorr, Cooper","JR-3","Stockton","29:14.8"
"213","Anderson, Myles","FR-1","St. John Fisher","29:15.8"
"214","Hutchings, Derek","SO-2","Morrisville State","29:17.3"
"215","Skowyra, Tucker","FR-1","SUNY Cobleskill","29:18.2"
"216","Sharron, Lucas","FR-1","Nazareth","29:18.6"
"217","Peters, Dylan","SR-4","Stevens Institute","29:19.1"
"218","Diaz, Octavio","SO-2","CCNY","29:21.1"
"219","Morales, Edy","FR-1","CCNY","29:23.2"
"220","Morrow, David","FR-1","Rutgers-Camden","29:24.1"
"221","Holthouse, Logan","SO-2","Keuka","29:25.6"
"222","Jenkins, Kyle","SO-2","Alfred","29:26.9"
"223","Albreski, Ian","FR-1","Hobart","29:30.4"
"224","Kleinsasser, Simeon","FR-1","CCNY","29:34.0"
"225","DeLuca, Nick","SR-4","St. Joseph's (L.I.)","29:35.5"
"226","Havens, Kevin","FR-1","St. John Fisher","29:37.9"
"227","Moade, Patrick","SO-2","Morrisville State","29:39.3"
"228","Recinos, Jose","FR-1","New Jersey City","29:41.3"
"229","Howe, Jacob","SO-2","Utica","29:42.3"
"230","Keally, Colin","SR-4","Union (N.Y.)","29:46.2"
"231","Humphrey, Ryan","SR-4","Utica","29:51.5"
"232","Spoor, Ian","FR-1","Union (N.Y.)","29:52.6"
"233","Mecca, George","FR-1","Alfred","29:56.4"
"234","McKenna, Corey","JR-3","Manhattanville","29:56.8"
"235","Shad, Montaka","SO-2","Buffalo State","29:59.0"
"236","Craig, Ethan","SR-4","Union (N.Y.)","30:00.0"
"237","Schoenfield, Justin","SO-2","SUNY Poly","30:01.9"
"238","Day, Jules","FR-1","CCNY","30:03.2"
"239","Yeager, Adam","SO-2","St. John Fisher","30:04.7"
"240","Mayo, Chris","SO-2","Alfred","30:04.8"
"241","Coughlin, Ronan","FR-1","Union (N.Y.)","30:05.0"
"242","Clarke, Wesley","FR-1","Oswego State","30:05.8"
"243","Helinski, Harrison","JR-3","Hartwick","30:06.9"
"244","Barnhardt, Andrew","SO-2","Rutgers-Camden","30:13.1"
"245","Perperian, John","SO-2","Oswego State","30:24.3"
"246","Garcia, Jorge","FR-1","SUNY Cobleskill","30:26.5"
"247","Merlino, Cameron","SO-2","Stockton","30:30.9"
"248","Hristidis, Anthony","FR-1","St. Joseph's (L.I.)","30:33.1"
"249","Nelson, Omar","SO-2","Hartwick","30:35.1"
"250","Full, Kyle","SO-2","Alfred","30:35.6"
"251","Tagliati, Luca","FR-1","Bard","30:36.1"
"252","Qadri, Muhammed","JR-3","CCNY","30:36.5"
"253","Falso, Stewy","SO-2","Hobart","30:37.4"
"254","Barry, Amadou","FR-1","Baruch","30:37.6"
"255","Montecalvo, Jason","FR-1","Hobart","30:43.0"
"256","Morales, Matthew","SR-4","Oswego State","30:44.5"
"257","Bruen, Christopher","FR-1","SUNY Cobleskill","30:45.6"
"258","Aquino, Luis","SR-4","Baruch","30:50.0"
"259","Braun, Owen","SR-4","Morrisville State","30:52.1"
"260","Berube, Nicholas","FR-1","SUNY Poly","31:02.5"
"261","Ward, Sean","JR-3","Rutgers-Camden","31:07.0"
"262","Eagen, Benjamin","FR-1","Bard","31:20.5"
"263","D'Angelo , Josh","JR-3","Potsdam St.","31:21.8"
"264","Yung, Ethan","JR-3","Houghton","31:22.5"
"265","Angel Gisone, Miguel","FR-1","Rutgers-Camden","31:28.1"
"266","Anderson, Anjae","FR-1","Morrisville State","31:32.5"
"267","Shaw, AJ","SO-2","Rutgers-Camden","31:33.5"
"268","Lulani, Armend","FR-1","Baruch","31:34.1"
"269","O'Toole, Nicholas","SO-2","Union (N.Y.)","31:36.6"
"270","Grady, William","SO-2","SUNY Poly","31:38.4"
"271","Singh, Jaskirt","SO-2","New Jersey City","31:39.6"
"272","Anderson, Jeremy","JR-3","St. Joseph's (L.I.)","31:42.2"
"273","Jawneh, Muhammed","SR-4","New Jersey City","31:48.3"
"274","Cornejo, Luis","SO-2","Rutgers-Camden","31:50.3"
"275","Every, Zane","SO-2","SUNY Cobleskill","31:53.7"
"276","Cheney, Winston","SR-4","Bard","31:58.4"
"277","Hyde, Andrew","FR-1","Potsdam St.","31:59.8"
"278","Attardi, Jeffery","SR-4","USMMA","32:06.4"
"279","Brown, Matt","JR-3","Potsdam St.","32:10.4"
"280","Crocco, Anthony","SO-2","Manhattanville","32:27.0"
"281","Goehl, Kevin","SR-4","Manhattanville","32:28.9"
"282","Rivera, Damian","FR-1","CCNY","32:31.9"
"283","Turim, Rainer","SO-2","Bard","32:34.1"
"284","Hill, Robert","SR-4","Morrisville State","32:40.4"
"285","Drake, Logan","JR-3","Potsdam St.","32:47.0"
"286","Chaudhry, Ali","SO-2","New Jersey City","33:27.2"
"287","Kpodo, Adnan","FR-1","New Jersey City","33:28.0"
"288","Hoo, Caleb","FR-1","Baruch","33:34.7"
"289","May, William","SO-2","Hartwick","34:03.3"
"290","Lema, Jovan","FR-1","Baruch","34:22.8"
"291","Colon, Samuel","FR-1","New Jersey City","34:44.4"
"292","Maine, Vinny","JR-3","Rutgers-Camden","34:59.5"
"293","Waltman, Sean","SO-2","Hartwick","35:11.7"
"294","Bekauri, Beka","FR-1","Hobart","35:28.2"
"295","Lee, Ethan","FR-1","Hartwick","35:32.9"
"296","Araque, Brian","SR-4","Bard","36:13.9"
"297","Carrasquillo, Andrew","SR-4","Mt. St. Vincent","36:36.0"
"298","Jones, Matthew","SO-2","Mt. St. Vincent","37:38.6"
"299","Sanchez, Matthew","SO-2","Baruch","37:54.8"
"300","Wilkinson, Matthew","JR-3","Carleton","24:56.8"
"301","Freiburger, Joe","JR-3","Wartburg","25:20.9"
"302","Mueller, Lucas","JR-3","Carleton","25:38.7"
"303","Shirley-Fairbairn, Morgan","SO-2","Wartburg","25:41.5"
"304","Meikle, Cameron","SR-4","Carleton","25:42.5"
"305","Wachter, Karl","SR-4","St. Thomas (Minn.)","25:43.9"
"306","Guttormson, Luke","SO-2","Loras","25:48.7"
"307","Benitez, Fernando","SR-4","Hamline","25:49.2"
"308","Stumbo, Andrew","JR-3","Gustavus Adolphus","25:50.3"
"309","Gustafson, Frank","JR-3","Hamline","25:50.5"
"310","Martin, Dalton","SO-2","Wartburg","25:55.2"
"311","Kadrofske, Elliot","SR-4","St. Olaf","25:57.4"
"312","Lelinga, Ezekiel","JR-3","Bethel (Minn.)","25:59.9"
"313","Grant, Garet","SO-2","Gustavus Adolphus","26:01.9"
"314","McGivern, George","SR-4","St. Thomas (Minn.)","26:04.5"
"315","Collet, Christopher","FR-1","Wartburg","26:04.9"
"316","Kelly, Ian","FR-1","Luther","26:05.4"
"317","Schillinger, Sam","SO-2","Luther","26:07.5"
"318","Conroy, Liam","JR-3","Wartburg","26:10.7"
"319","Bowman, Henry","FR-1","Carleton","26:11.4"
"320","Lonergan, Sean","SR-4","St. Olaf","26:13.7"
"321","Ellefson-Carnes, Arne","FR-1","St. Olaf","26:14.0"
"322","Foss, Easton","SR-4","St. Scholastica","26:14.1"
"323","Wolak, Patrick","SR-4","Loras","26:15.0"
"324","Brenk, Christopher","SR-4","St. Olaf","26:16.7"
"325","Appleton, Caleb","SR-4","Wartburg","26:17.4"
"326","Lavey, Stephen","SO-2","Carleton","26:18.0"
"327","Primozich, Sam","JR-3","St. Olaf","26:18.4"
"328","Sanders, Nate","JR-3","Central College","26:18.6"
"329","Moon, Spencer","FR-1","Simpson (Iowa)","26:18.6"
"330","Santos, Ben","SO-2","Carleton","26:19.7"
"331","Haire, Zach","FR-1","St. Thomas (Minn.)","26:20.5"
"332","Wiel, Biel","SO-2","St. Thomas (Minn.)","26:20.8"
"333","Lieberman, Matthew","JR-3","Grinnell","26:27.9"
"334","Altier, Tom","SO-2","Luther","26:28.8"
"335","Sather, Zak","FR-1","Carleton","26:29.5"
"336","Biechler, Mark","SO-2","Dubuque","26:29.7"
"337","Iselin, Dan","JR-3","Luther","26:29.9"
"338","Decker, Preston","JR-3","Nebraska Wesleyan","26:31.3"
"339","Sunvold, Daniel","SR-4","Central College","26:31.4"
"340","Collins, Tremayne","SR-4","St. John's (Minn.)","26:32.2"
"341","DeHaan, Will","SO-2","Central College","26:33.4"
"342","Kozlowski, Carl","JR-3","St. Thomas (Minn.)","26:34.1"
"343","Kern, Collin","SR-4","Luther","26:37.5"
"344","Mendel, Ike","SO-2","Bethel (Minn.)","26:39.1"
"345","Havens, Tyler","SR-4","Loras","26:39.2"
"346","Schultz, Joey","JR-3","Loras","26:40.0"
"347","Facio, Jonathan","SR-4","Simpson (Iowa)","26:41.2"
"348","Boedigheimer, Isaac","JR-3","St. Scholastica","26:43.0"
"349","Nemanich, Thomas","FR-1","St. John's (Minn.)","26:45.4"
"350","Wicklund, Ben","SO-2","Gustavus Adolphus","26:46.3"
"351","Pinkowski, Sam","JR-3","Wartburg","26:46.9"
"352","Johnson, Adrian","JR-3","Macalester","26:49.8"
"353","Weist, Kaleb","SR-4","Nebraska Wesleyan","26:50.5"
"354","Davidson, Aaron","SO-2","Cornell College","26:50.8"
"355","Diekmann, Dillon","SO-2","St. John's (Minn.)","26:51.3"
"356","Dewall, Lars","FR-1","St. Scholastica","26:51.9"
"357","Vasquez, Andy","SR-4","Nebraska Wesleyan","26:53.0"
"358","Breheny, Shane","JR-3","Simpson (Iowa)","26:55.5"
"359","Sansone, Keegan","SO-2","St. Thomas (Minn.)","26:56.8"
"360","Webb, Noah","JR-3","St. John's (Minn.)","26:57.3"
"361","Halverson, Josh","JR-3","Bethel (Minn.)","26:57.8"
"362","Silver, Caleb","FR-1","Central College","26:59.1"
"363","Goldsmith, Andy","SO-2","St. John's (Minn.)","27:00.6"
"364","Hayes, Logan","SR-4","Loras","27:03.9"
"365","Weijenberg, Norbert","FR-1","Nebraska Wesleyan","27:03.9"
"366","Pennell, Pierce","SO-2","Nebraska Wesleyan","27:04.4"
"367","Nostrala, Seth","JR-3","Simpson (Iowa)","27:06.8"
"368","Wicklund, Eric","SR-4","Concordia-Moorhead","27:08.0"
"369","Kosche, Reuben","SO-2","St. Olaf","27:09.5"
"370","Sabala, Easton","SO-2","Central College","27:10.0"
"371","Baldus, Eric","FR-1","Simpson (Iowa)","27:13.2"
"372","Courtney, Ryan","JR-3","Simpson (Iowa)","27:13.3"
"373","Johnson, Noah","SO-2","Gustavus Adolphus","27:14.7"
"374","Weber, Colin","SR-4","Luther","27:15.4"
"375","Isahak, Munir","JR-3","Concordia-Moorhead","27:17.9"
"376","Olson, Tanner","FR-1","Concordia-Moorhead","27:18.5"
"377","Lyford, Derk","FR-1","St. Olaf","27:18.6"
"378","Mills, Evan","JR-3","Cornell College","27:21.7"
"379","Nelsen, Noah","FR-1","Simpson (Iowa)","27:22.0"
"380","Nickeson, Andrew","FR-1","Grinnell","27:22.4"
"381","Gilbertson, Jeremy","JR-3","Gustavus Adolphus","27:24.8"
"382","Cernohous, Tyler","SO-2","Dubuque","27:28.3"
"383","Roen, Ben","JR-3","Hamline","27:31.0"
"384","Kiley, Collin","SR-4","St. Thomas (Minn.)","27:31.7"
"385","Lepak, Jake","SR-4","Macalester","27:32.6"
"386","Conklin-Little, Cole","SR-4","Loras","27:33.8"
"387","Keller, Blake","SR-4","Loras","27:34.4"
"388","Gaim, Nehemiah","FR-1","Hamline","27:35.1"
"389","Matelich, Nick","SO-2","St. Scholastica","27:38.3"
"390","Tobin, Joseph","SR-4","Dubuque","27:39.7"
"391","Payne, Matt","SO-2","Gustavus Adolphus","27:40.5"
"392","Middendorf, Jesse","FR-1","Concordia-Moorhead","27:42.6"
"393","Phillips, Justin","JR-3","Coe","27:42.7"
"394","Kivela, Erik","JR-3","Bethel (Minn.)","27:43.5"
"395","Mayse, Smith","SO-2","Macalester","27:44.8"
"396","Kneeskern, Noah","JR-3","Concordia-Moorhead","27:45.5"
"397","Heitter, Jacob","SR-4","Dubuque","27:46.2"
"398","Owens, Cutler","SO-2","Central College","27:48.1"
"399","Moe, Derrick","SO-2","Wis.-Superior","27:50.6"
"400","Meshach, McCoy","SR-4","Coe","27:51.2"
"401","Brodie, Aric","SO-2","Hamline","27:52.8"
"402","O'Donnell-Hoff, Sam","SR-4","Macalester","27:53.4"
"403","Foster, Caleb","SR-4","Bethel (Minn.)","27:55.1"
"404","Falkinburg, Hayden","SR-4","Nebraska Wesleyan","27:58.3"
"405","Haugrud, Connor","JR-3","Concordia-Moorhead","27:59.4"
