"","NAME","YEAR","TEAM","TIME","DATE","COURSE"
"1","Falasco, Noah","SR-4","RPI","25:13.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"2","McAneny, Sean","SR-4","SUNY Geneseo","25:14.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"3","Holtzman, Luke","SR-4","SUNY Geneseo","25:19.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"4","Sayre, Matthew","JR-3","SUNY Geneseo","25:19.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"5","Domanico, Joe","SR-4","RPI","25:20.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"6","Sutton, Lucas","SR-4","SUNY Geneseo","25:27.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"7","Jaques, Henry","JR-3","RPI","25:27.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"8","McDonald, Ethan","SR-4","Oneonta","25:29.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"9","Abrams, Robert","JR-3","TCNJ","25:30.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"10","Ogetii, Dadley","SR-4","St. Lawrence","25:33.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"11","Dellabough, Blake","SR-4","Oneonta","25:36.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"12","Page, Evan","SR-4","St. Lawrence","25:37.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"13","Kuehn, Sean","SR-4","Brockport St.","25:40.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"14","Singer, Chris","JR-3","Ithaca","25:40.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"15","Ruggles, Ezra","FR-1","SUNY Geneseo","25:41.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"16","Whitworth, Matt","SR-4","New Paltz St.","25:42.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"17","Eissa, Hassan","JR-3","RIT","25:44.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"18","Kloman, Jake","SR-4","RPI","25:45.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"19","Jagoe, Danny","SO-2","Ithaca","25:47.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"20","Farnham, Bradley","JR-3","SUNY Geneseo","25:48.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"21","Grossman, Riley","SO-2","SUNY Geneseo","25:49.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"22","Montgomery, Jeff","SR-4","Ithaca","25:54.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"23","Andersen, Chris","SO-2","Ramapo","25:56.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"24","Mortensen, Patrick","SR-4","St. Lawrence","25:57.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"25","Rodriguez, Jason","JR-3","Ramapo","25:59.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"26","Capobianco, Johnny","SR-4","RPI","25:59.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"27","Vielhauer, Nicholas","SR-4","St. Lawrence","26:00.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"28","Spector, Dillan","JR-3","NYU","26:00.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"29","Napora, Danny","SR-4","RPI","26:01.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"30","Harvey, Cyril","SO-2","Rowan","26:02.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"31","Dolan, Reed","JR-3","Vassar","26:02.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"32","McCandless, Cabel","SR-4","Cortland St.","26:03.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"33","Van Riper, Conor","SO-2","New Paltz St.","26:03.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"34","Craw, Jared","SO-2","SUNY Cobleskill","26:04.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"35","Beaudry, Benjamin","JR-3","RIT","26:05.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"36","Davis, Jacob","JR-3","RPI","26:06.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"37","Fiumefreddo, Steven","SO-2","Ramapo","26:06.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"38","Sussman, Johnathan","JR-3","NYU","26:10.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"39","Wilson, Jack","SR-4","New Paltz St.","26:11.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"40","Hofer, Alec","JR-3","Ithaca","26:12.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"41","Frantz, Ivan","SR-4","Rochester","26:12.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"42","Stewart, Forest","SR-4","Ithaca","26:13.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"43","Connelly, Gerard","SR-4","Brockport St.","26:14.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"44","Palmer, Matt","SR-4","Oneonta","26:15.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"45","VanDemortel, Dillon","SO-2","SUNY Cobleskill","26:16.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"46","Wright, Lucas","JR-3","Hamilton","26:17.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"47","Caruso, Jake","SR-4","Rowan","26:17.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"48","Kole, Matt","JR-3","TCNJ","26:17.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"49","Bush, Evan","SR-4","TCNJ","26:18.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"50","Ryan, Sean","SR-4","Oneonta","26:19.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"51","Cronin, Kevin","SO-2","Clarkson","26:20.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"52","Robinson, Ryley","SR-4","Rochester","26:20.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"53","Martin, Brandon","FR-1","Oneonta","26:22.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"54","Lauer, Kevin","SO-2","Rowan","26:22.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"55","Lawson, Nathan","FR-1","Rochester","26:23.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"56","Ford, Andrew","SO-2","St. John Fisher","26:23.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"57","Do, Daniel","JR-3","Stockton","26:24.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"58","Trawick, Sam","JR-3","Rochester","26:25.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"59","Daoust, Bernard","SR-4","St. John Fisher","26:26.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"60","Vest, Nolan","JR-3","Cortland St.","26:26.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"61","Higby, Kyle","SO-2","RIT","26:26.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"62","Zurzolo, Mike","SR-4","TCNJ","26:28.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"63","Hamilton, Jackson","FR-1","St. Lawrence","26:29.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"64","Steffey , Maxwell","SO-2","Hamilton","26:30.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"65","Meyer, Aohdan","SO-2","USMMA","26:30.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"66","Tinti, Chris","SR-4","Ithaca","26:31.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"67","Dunham, Chad","SR-4","Cortland St.","26:33.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"68","Benkard, Dexter","JR-3","St. Lawrence","26:35.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"69","Karam, Benjamin","SR-4","NYU","26:35.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"70","Abrahim, Ken","FR-1","Rochester","26:36.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"71","DeMarco, Nicholas","JR-3","Ramapo","26:36.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"72","Takiguchi, Miles","FR-1","Vassar","26:37.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"73","Sidlauskas, Marius","JR-3","Brockport St.","26:40.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"74","Mayhew, William","SO-2","TCNJ","26:41.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"75","Muermann, Jason","SR-4","Rowan","26:42.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"76","Wallace, Humberto","SO-2","Brockport St.","26:45.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"77","Horan, Andrew","JR-3","Plattsburgh St.","26:46.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"78","Smith, Aidan","SR-4","Oneonta","26:46.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"79","Meyers, Jake","SO-2","New Paltz St.","26:47.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"80","Winters-Bona, Gabriel","FR-1","Oswego State","26:47.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"81","Stewart, Jeffrey","SO-2","Rowan","26:48.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"82","McNally, Nate","FR-1","Nazareth","26:48.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"83","Colangelo, Jacob","SR-4","Hamilton","26:49.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"84","Suarez, Gabriel","JR-3","Ramapo","26:49.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"85","Lino, Herlandt","JR-3","RIT","26:52.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"86","Bowers, Nate","FR-1","Nazareth","26:52.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"87","Santiago, Clayton","SO-2","Cortland St.","26:54.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"88","Richardson, Seth","SR-4","Clarkson","26:54.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"89","Bingham, Aleksei","SO-2","RIT","26:55.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"90","Orsini, Leo","SR-4","Rochester","26:56.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"91","Navalance, Kyle","JR-3","Stockton","26:57.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"92","Dean, Johnathan","SO-2","Vassar","26:58.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"93","Verde, Michael","SO-2","Cortland St.","26:59.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"94","Klein, Samuel","JR-3","NYU","26:59.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"95","Jones, Peyton","FR-1","Morrisville State","26:59.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"96","DeLaCruz, Jose","SR-4","Ramapo","27:00.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"97","Mulligan, Pat","SO-2","TCNJ","27:01.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"98","de Beaufort Florez, Liam","FR-1","NYU","27:03.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"99","Edington, Jake","JR-3","Vassar","27:04.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"100","O'Rourke, Ryan","SO-2","Oneonta","27:05.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"101","Brewer, Owen","JR-3","RIT","27:05.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"102","Patel, Kush","SO-2","Rowan","27:08.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"103","Heintz, Benjamin","SR-4","NYU","27:08.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"104","Boyzok, John","SR-4","Brockport St.","27:08.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"105","Cohen, Matthew","SR-4","Stockton","27:10.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"106","Campbell, Kyle","SO-2","Fredonia","27:11.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"107","Abell, Matthew","FR-1","St. Lawrence","27:11.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"108","LaDue, Trevor","SO-2","Stevens Institute","27:11.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"109","Horan, Arthur","JR-3","Plattsburgh St.","27:12.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"110","Deuschle, Tyler","SR-4","Houghton","27:12.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"111","Dellaporta, Lucas","SR-4","Manhattanville","27:13.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"112","George, Brandon","JR-3","Clarkson","27:14.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"113","Wilson, Ryan","FR-1","St. Joseph's (L.I.)","27:14.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"114","Koshi, Sembel","FR-1","Buffalo State","27:15.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"115","Barmore, Collin","FR-1","Fredonia","27:15.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"116","Blake, John","SR-4","Ithaca","27:17.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"117","Celecki, Chris","JR-3","Nazareth","27:17.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"118","Engelhart, Kyle","JR-3","Utica","27:19.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"119","Marlow, Mitch","SR-4","Utica","27:19.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"120","Stevens, Tyler","FR-1","Utica","27:22.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"121","Padilla Jr., Merlin","SR-4","CCNY","27:24.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"122","Pollard, Aidan","SR-4","Fredonia","27:25.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"123","Skeldon, Christopher","SR-4","Hamilton","27:26.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"124","Schulz, William","FR-1","Stevens Institute","27:26.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"125","Lillian, Jack","SR-4","NYU","27:26.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"126","Ross, Peter","SR-4","Hamilton","27:28.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"127","Dunning, Ryan","JR-3","Fredonia","27:29.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"128","Casalino, Jack","SO-2","Vassar","27:30.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"129","Burg, Alex","SR-4","Brockport St.","27:30.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"130","Mooney, Cody","JR-3","Brockport St.","27:31.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"131","Gross, Dan","SO-2","Cortland St.","27:31.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"132","Cermeno, Eduardo","SO-2","Ramapo","27:32.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"133","Ennis, Jack","SO-2","TCNJ","27:33.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"134","Watkins, Noah","JR-3","Fredonia","27:33.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"135","Kazandjian, Zaven","FR-1","RIT","27:35.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"136","O'Rourke, Dennis","SO-2","St. Joseph's (L.I.)","27:35.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"137","Wasserman, Josh","SR-4","Hobart","27:35.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"138","Jones, Garrett","SO-2","SUNY Poly","27:36.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"139","Erman, Matthew","JR-3","Fredonia","27:36.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"140","Gunther, PJ","SO-2","Stevens Institute","27:39.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"141","Byrnes, Sean","SO-2","Clarkson","27:40.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"142","Brown, Mike","JR-3","Nazareth","27:45.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"143","Pittman, Tyler","SO-2","USMMA","27:45.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"144","Diop, Papa","JR-3","Manhattanville","27:45.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"145","Fletcher, Will","SR-4","Hobart","27:47.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"146","Gann, Ayden","JR-3","Vassar","27:47.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"147","Lopez, Matt","FR-1","St. Joseph's (L.I.)","27:49.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"148","MaGill, Brendan","FR-1","Hamilton","27:52.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"149","Tomaka, Josh","SO-2","Nazareth","27:52.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"150","Shute, Brennan","SO-2","USMMA","27:53.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"151","Bashant, Eli","SR-4","Vassar","27:54.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"152","Kimball, Shane","JR-3","Manhattanville","27:54.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"153","Keidat, Matt","FR-1","Stockton","27:56.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"154","Nowak, Eric","FR-1","Clarkson","27:56.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"155","Smith, Brent","FR-1","Bard","27:56.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"156","Fonda, Seth","SO-2","Buffalo State","27:57.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"157","Suddaby, Jake","SO-2","Nazareth","27:57.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"158","Dobkowski, Michael","SR-4","USMMA","27:59.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"159","Wheeler, Joel","JR-3","Houghton","27:59.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"160","Baisley, Jake","JR-3","SUNY Poly","27:59.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"161","Barbookles, Matthew","JR-3","Oswego State","28:01.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"162","Bishop, Tyler","FR-1","Clarkson","28:01.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"163","Gwilt, Collin","SR-4","Rochester","28:02.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"164","Catalano, Jake","SR-4","Stevens Institute","28:03.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"165","Behuniak, Joshua","SR-4","Buffalo State","28:05.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"166","Vernick, John","SR-4","Houghton","28:06.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"167","Daly, Hayden","SO-2","Stevens Institute","28:08.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"168","Russo, Dave","SO-2","Houghton","28:09.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"169","Murnock, Kevin","SR-4","Buffalo State","28:11.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"170","Beckhorn, Dylan","SO-2","Houghton","28:13.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"171","Ruiz, Anthony","FR-1","Fredonia","28:16.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"172","Bucher, William","FR-1","USMMA","28:16.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"173","Watkins, Gavin","FR-1","Cortland St.","28:17.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"174","Yusaitis, Joseph","FR-1","Plattsburgh St.","28:17.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"175","Chianese, Joseph","JR-3","Plattsburgh St.","28:17.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"176","Bernstein, Richard","JR-3","Buffalo State","28:18.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"177","Tso, Ryan","JR-3","New Paltz St.","28:19.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"178","Rozvora, Bogdan","FR-1","St. John Fisher","28:19.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"179","Richard, Dylan","FR-1","Clarkson","28:23.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"180","Bell, Dillon","JR-3","Houghton","28:27.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"181","Appleton, Jacob","FR-1","Hobart","28:30.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"182","Couse, Nathan","SO-2","Oswego State","28:30.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"183","Mayo, Tim","SO-2","Alfred","28:31.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"184","Merando, Nick","SO-2","SUNY Cobleskill","28:32.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"185","Facey, Philip","SO-2","Union (N.Y.)","28:33.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"186","Reed, Hunter","SO-2","Utica","28:34.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"187","Lisiecki, Joshua","FR-1","Buffalo State","28:35.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"188","Russo, Robby","SO-2","Stevens Institute","28:39.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"189","Wuss, Patrick","FR-1","St. Joseph's (L.I.)","28:39.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"190","Lyon , Nicholas","SO-2","Hamilton","28:40.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"191","Gildea, Liam","FR-1","Plattsburgh St.","28:41.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"192","D'Antonio, Chris","SO-2","New Paltz St.","28:42.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"193","Garceau, Mark","SO-2","Hartwick","28:44.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"194","Killian, Joseph","SO-2","SUNY Poly","28:44.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"195","Nicosia, Brandon","FR-1","St. John Fisher","28:45.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"196","Dell-Thibodeau, Max","SR-4","Lehman","28:46.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"197","Siranaula, Dayshawn","JR-3","Manhattanville","28:49.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"198","Raymond, Sean","JR-3","Alfred","28:49.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"199","Carrick, Ryan","FR-1","New Paltz St.","28:53.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"200","Perez, Eric","SR-4","Oswego State","28:55.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"201","Jean-Baptiste, Ed-Son","FR-1","Morrisville State","28:56.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"202","Czerpak, Colin","JR-3","Union (N.Y.)","28:57.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"203","Pfeifer, Andrew","SO-2","SUNY Poly","28:58.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"204","Tlatelpa, Jaime","FR-1","New Jersey City","28:58.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"205","Carrano, Victor","JR-3","Baruch","28:59.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"206","Wilbert, Gavin","SO-2","Alfred","29:00.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"207","Lorenzen, Timothy","JR-3","Plattsburgh St.","29:02.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"208","Bakely, Chris","SO-2","Stockton","29:04.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"209","Worobey, Ryan","FR-1","Plattsburgh St.","29:07.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"210","Maynard, Holden","JR-3","Sage","29:10.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"211","Murray, Patrick","FR-1","Utica","29:12.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"212","Knorr, Cooper","JR-3","Stockton","29:14.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"213","Anderson, Myles","FR-1","St. John Fisher","29:15.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"214","Hutchings, Derek","SO-2","Morrisville State","29:17.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"215","Skowyra, Tucker","FR-1","SUNY Cobleskill","29:18.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"216","Sharron, Lucas","FR-1","Nazareth","29:18.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"217","Peters, Dylan","SR-4","Stevens Institute","29:19.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"218","Diaz, Octavio","SO-2","CCNY","29:21.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"219","Morales, Edy","FR-1","CCNY","29:23.2","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"220","Morrow, David","FR-1","Rutgers-Camden","29:24.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"221","Holthouse, Logan","SO-2","Keuka","29:25.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"222","Jenkins, Kyle","SO-2","Alfred","29:26.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"223","Albreski, Ian","FR-1","Hobart","29:30.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"224","Kleinsasser, Simeon","FR-1","CCNY","29:34.0","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
