"","X","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE","MEETNAME_CORR","Score"
"33",144,"Sather, Zak","FR-1","Carleton","27:59.6","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"34",147,"Lavey, Stephen","SO-2","Carleton","28:19.8","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"35",166,"Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:16.8","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
"36",167,"van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","25:17.8","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
"37",168,"Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:23.4","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
"38",169,"Kimball, Will","JR-3","Claremont-Mudd-Scripps","25:47.5","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
"39",170,"Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","26:16.6","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
"40",172,"Pick, Henry","FR-1","Claremont-Mudd-Scripps","26:28.4","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
"41",173,"D'Anieri, Thomas","SR-4","Claremont-Mudd-Scripps","24:52.0","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  ","2019_SCIAC_Cross_Country_Championships","84"
"42",174,"Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:12.2","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  ","2019_SCIAC_Cross_Country_Championships","84"
"43",175,"Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:16.6","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  ","2019_SCIAC_Cross_Country_Championships","84"
"44",176,"van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","25:16.8","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  ","2019_SCIAC_Cross_Country_Championships","84"
"45",177,"Pick, Henry","FR-1","Claremont-Mudd-Scripps","25:22.3","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  ","2019_SCIAC_Cross_Country_Championships","84"
"46",178,"Kimball, Will","JR-3","Claremont-Mudd-Scripps","25:34.5","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  ","2019_SCIAC_Cross_Country_Championships","84"
"47",179,"Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","25:44.2","November  2, 2019
","2019 SCIAC Cross Country Championships","
Pomona Pitzer
Claremont, CA 91711
  ","2019_SCIAC_Cross_Country_Championships","84"
"48",203,"D'Anieri, Thomas","SR-4","Claremont-Mudd-Scripps","25:38.6","October 12, 2019
","UC San Diego Triton Classic","
UC San Diego
La Jolla, CA 85713
  ","UC_San_Diego_Triton_Classic","148"
"49",204,"Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:59.0","October 12, 2019
","UC San Diego Triton Classic","
UC San Diego
La Jolla, CA 85713
  ","UC_San_Diego_Triton_Classic","148"
"50",205,"van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","26:07.2","October 12, 2019
","UC San Diego Triton Classic","
UC San Diego
La Jolla, CA 85713
  ","UC_San_Diego_Triton_Classic","148"
"51",206,"Kimball, Will","JR-3","Claremont-Mudd-Scripps","26:46.4","October 12, 2019
","UC San Diego Triton Classic","
UC San Diego
La Jolla, CA 85713
  ","UC_San_Diego_Triton_Classic","148"
